"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 02 15:11:02 CST 2022","Sat Jul 02 15:11:07 CST 2022","4607","TestCases","test_find_a_doctor","TestFindADoctor","","","test_03_go_teenagers_page",""
"passed","Sat Jul 02 15:12:45 CST 2022","Sat Jul 02 15:12:45 CST 2022","337","TestCases","test_find_a_doctor","TestFindADoctor","","","test_18_search_error_prompt",""
"passed","Sat Jul 02 15:11:17 CST 2022","Sat Jul 02 15:11:21 CST 2022","4564","TestCases","test_find_a_doctor","TestFindADoctor","","","test_05_go_teenagers_page",""
"passed","Sat Jul 02 15:12:06 CST 2022","Sat Jul 02 15:12:10 CST 2022","4338","TestCases","test_find_a_doctor","TestFindADoctor","","","test_13_go_right_open_smile_test_page",""
"passed","Sat Jul 02 15:12:41 CST 2022","Sat Jul 02 15:12:45 CST 2022","3619","TestCases","test_find_a_doctor","TestFindADoctor","","","test_17_go_advanced_optionsorganization_list_page",""
"passed","Sat Jul 02 15:12:19 CST 2022","Sat Jul 02 15:12:27 CST 2022","7798","TestCases","test_find_a_doctor","TestFindADoctor","","","test_15_go_right_become_yinshimei_doctor_page",""
"passed","Sat Jul 02 15:11:30 CST 2022","Sat Jul 02 15:11:34 CST 2022","4242","TestCases","test_find_a_doctor","TestFindADoctor","","","test_06_go_treatment_process_page",""
"passed","Sat Jul 02 15:11:42 CST 2022","Sat Jul 02 15:11:44 CST 2022","1946","TestCases","test_find_a_doctor","TestFindADoctor","","","test_09_go_looking_for_yinshimei_treatment_institution_page",""
"passed","Sat Jul 02 15:12:35 CST 2022","Sat Jul 02 15:12:38 CST 2022","2955","TestCases","test_find_a_doctor","TestFindADoctor","","","test_16_go_organization_list_page",""
"passed","Sat Jul 02 15:11:57 CST 2022","Sat Jul 02 15:12:23 CST 2022","25989","TestCases","test_find_a_doctor","TestFindADoctor","","","test_12_go_yinshimei_experience_center_page",""
"passed","Sat Jul 02 15:11:28 CST 2022","Sat Jul 02 15:11:32 CST 2022","4656","TestCases","test_find_a_doctor","TestFindADoctor","","","test_08_go_treatment_cost_page",""
"passed","Sat Jul 02 15:10:49 CST 2022","Sat Jul 02 15:10:54 CST 2022","4930","TestCases","test_find_a_doctor","TestFindADoctor","","","test_01_to_index_page",""
"passed","Sat Jul 02 15:11:54 CST 2022","Sat Jul 02 15:11:57 CST 2022","2920","TestCases","test_find_a_doctor","TestFindADoctor","","","test_11_go_contact_us_page",""
"passed","Sat Jul 02 15:11:16 CST 2022","Sat Jul 02 15:11:19 CST 2022","2349","TestCases","test_find_a_doctor","TestFindADoctor","","","test_07_go_treatment_cost_page",""
"passed","Sat Jul 02 15:11:02 CST 2022","Sat Jul 02 15:11:07 CST 2022","4321","TestCases","test_find_a_doctor","TestFindADoctor","","","test_04_go_teenagers_page",""
"passed","Sat Jul 02 15:10:50 CST 2022","Sat Jul 02 15:10:54 CST 2022","3678","TestCases","test_find_a_doctor","TestFindADoctor","","","test_02_to_About_hidden_beauty_page",""
"passed","Sat Jul 02 15:11:46 CST 2022","Sat Jul 02 15:11:50 CST 2022","4071","TestCases","test_find_a_doctor","TestFindADoctor","","","test_10_go_open_smile_test_page",""
"passed","Sat Jul 02 15:12:32 CST 2022","Sat Jul 02 15:12:33 CST 2022","1564","TestCases","test_find_a_doctor","TestFindADoctor","","","test_14_go_right_looking_for_yinshimei_treatment_institution_page",""
